node_index,split_feature_indx,split_feature,threshold,decision_type,left_child,right_child,leaf_value,thres_vis,condition,conditions,2024-05-11,2024-05-12,ratio
34,0,trade_amt,17452.789300000004,<=,69,70,,,trade_amt <= 17452.789300000004,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & ~(trade_amt <= 5248.867955000001) & ~(trade_amt <= 12305.562325000003),744547.7650820999,350055.6643404,0.01771086651111854
35,0,trade_amt,30305.666000000005,<=,71,72,,,trade_amt <= 30305.666000000005,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001 & trade_amt <= 40620.40480000001,1154340.87025,788608.8741,0.01641967114291794
36,0,trade_amt,45124.71285,<=,73,74,,,trade_amt <= 45124.71285,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001 & ~(trade_amt <= 40620.40480000001),5343093.975399999,2964476.4724000003,0.10678889893470049
37.0,,,,,,,20883.720801824275,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & ~(trade_amt <= 51686.75600000001) & trade_amt <= 71339.88060000002,1180288.57,732954.6872,0.020083217558160036
38.0,,,,,,,26466.70412745275,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & ~(trade_amt <= 51686.75600000001) & ~(trade_amt <= 71339.88060000002),1524818.3111,1096574.8284000002,0.019226147094190647
63,0,trade_amt,170.326941,<=,127,128,,,trade_amt <= 170.326941,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & trade_amt <= 1341.0090000000002 & trade_amt <= 447.52258250000006,348586.02254280006,251805.77327747,0.004344984531828049
64,0,trade_amt,848.6148904000001,<=,129,130,,,trade_amt <= 848.6148904000001,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & trade_amt <= 1341.0090000000002 & ~(trade_amt <= 447.52258250000006),652633.144016,615800.20760227,0.001653628092449998
65,0,trade_amt,2042.6788330000002,<=,131,132,,,trade_amt <= 2042.6788330000002,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002) & trade_amt <= 2867.1125000000006,792474.7501015,670338.5849041,0.005483347610570841
66,0,trade_amt,3651.3120000000004,<=,133,134,,,trade_amt <= 3651.3120000000004,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002) & ~(trade_amt <= 2867.1125000000006),461860.1430287,380337.97742499993,0.003659967309839244
67,0,trade_amt,7157.771794000001,<=,135,136,,,trade_amt <= 7157.771794000001,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & ~(trade_amt <= 5248.867955000001) & trade_amt <= 12305.562325000003 & trade_amt <= 8162.22814265,408886.210483,428287.8891058,-0.0008710454265978442
68,0,trade_amt,10068.799050000003,<=,137,138,,,trade_amt <= 10068.799050000003,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & ~(trade_amt <= 5248.867955000001) & trade_amt <= 12305.562325000003 & ~(trade_amt <= 8162.22814265),439046.03392550006,205561.45709729998,0.010482375096572214
69.0,,,,,,,9416.45846421093,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & ~(trade_amt <= 5248.867955000001) & ~(trade_amt <= 12305.562325000003) & trade_amt <= 17452.789300000004,252348.5795771,206378.5191404,0.002063842602606474
70.0,,,,,,,10813.085591087704,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & ~(trade_amt <= 5248.867955000001) & ~(trade_amt <= 12305.562325000003) & ~(trade_amt <= 17452.789300000004),492199.18550500006,143677.1452,0.01564702390851207
71.0,,,,,,,12396.865824039274,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001 & trade_amt <= 40620.40480000001 & trade_amt <= 30305.666000000005,479403.88731,357360.29079999996,0.00547919170564254
72.0,,,,,,,14520.957479079458,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001 & trade_amt <= 40620.40480000001 & ~(trade_amt <= 30305.666000000005),674936.9829399999,431248.5833000001,0.0109404794372754
73,0,trade_amt,44248.57525,<=,147,148,,,trade_amt <= 44248.57525,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001 & ~(trade_amt <= 40620.40480000001) & trade_amt <= 45124.71285,4743804.1645,2125187.6377,0.11756374250020886
74.0,,,,,,,17141.5119278942,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001 & ~(trade_amt <= 40620.40480000001) & ~(trade_amt <= 45124.71285),599289.8109,839288.8346999999,-0.010774843565508303
127,0,trade_amt,71.99171450000001,<=,255,256,,,trade_amt <= 71.99171450000001,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & trade_amt <= 1341.0090000000002 & trade_amt <= 447.52258250000006 & trade_amt <= 170.326941,136004.5302797,91656.02147566,0.001991042451594751
128,0,trade_amt,291.02802,<=,257,258,,,trade_amt <= 291.02802,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & trade_amt <= 1341.0090000000002 & trade_amt <= 447.52258250000006 & ~(trade_amt <= 170.326941),212581.4922631,160149.75180181,0.0023539420802332956
129,0,trade_amt,633.3358835000001,<=,259,260,,,trade_amt <= 633.3358835000001,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & trade_amt <= 1341.0090000000002 & ~(trade_amt <= 447.52258250000006) & trade_amt <= 848.6148904000001,339061.4408927,313316.19544817,0.0011558421689731304
130,0,trade_amt,1069.8503000000003,<=,261,262,,,trade_amt <= 1069.8503000000003,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & trade_amt <= 1341.0090000000002 & ~(trade_amt <= 447.52258250000006) & ~(trade_amt <= 848.6148904000001),313571.7031233,302484.0121541,0.000497785923476865
